userName,score,at,content
Pengguna Google,4,2026-06-01 04:14:48,WhatsAppnya bagus updet dong tapi aku suka bisa dibuat telefon wa dan juga lain lainya
Pengguna Google,3,2026-06-01 04:14:08,"Tolong tingkatkan kualitas builtin whatsapp sticker soalnya, 1. ketika buat stiker dari gambar itu ada border putih dan menjadi squircle dan kami tidak suka ini 2. kualitas sticker menjadi low quality 3. tool di sticker maker builtin kurang, 4. ai jelek 5. setiap kali edit sebuah stiker kualitas menurun 6. aku muak dengan orang yang pakai stiker builtin whatsapp jadi aku kasih bintang 3"
Pengguna Google,5,2026-06-01 04:13:29,Bagus pelayananya saya dukung
Pengguna Google,1,2026-06-01 04:10:20,fitur terbarunya bikin susah saat vc
Pengguna Google,3,2026-06-01 04:09:07,"aneh yaa padahal jaringan sama"" bagus, tapi ntah kenaap pas vc sering lag"" gajelass, tolong diperbaiki lah"
Pengguna Google,2,2026-06-01 04:08:56,knp wa baru 1x chat ke blockir
Pengguna Google,5,2026-06-01 04:07:23,sangat mudah
Pengguna Google,5,2026-06-01 04:06:46,kecewa yuk..tumbal..tuman keseruan..nebak.. pemerintah pusat yang khusus Garut.. Gendo gembong PKI.. KSH
Pengguna Google,3,2026-06-01 04:05:56,kenapa no aku di keluarkan terus
Pengguna Google,5,2026-06-01 04:04:32,tidak ada iklannya
Pengguna Google,1,2026-06-01 04:04:22,ini kenapa ya setiap video call kok selalu ngeleg/video terjeda sendiri
Pengguna Google,1,2026-06-01 04:04:04,"aneh, ada satu kontak yang ga bisa di arsipkan, ga bisa di sematkan, gajelas, udah di arsipkan tapi masi ada di luar arsip, huh aneh gajelas"
Pengguna Google,5,2026-06-01 04:01:03,mantul
Pengguna Google,5,2026-06-01 04:00:29,sangat membantu
Pengguna Google,5,2026-06-01 04:00:10,bagus banget
Pengguna Google,3,2026-06-01 03:59:37,"kenapa ini aku gabisa up story, biasanya fine fine aja"
Pengguna Google,5,2026-06-01 03:59:30,okee
Pengguna Google,5,2026-06-01 03:59:19,😄
Pengguna Google,5,2026-06-01 03:58:48,terima kasih sudah di ajak bergabung
Pengguna Google,1,2026-06-01 03:58:29,jelek gak ngapa ngapain tiba tiba kena spam
Pengguna Google,5,2026-06-01 03:58:26,sangat membant
Pengguna Google,3,2026-06-01 03:57:44,ini gimna wa aku ke daluarsa terus kenapa yah tolong dong biar ga kedaluarsa terus
Pengguna Google,5,2026-06-01 03:57:44,kok tidak bisa didonload
Pengguna Google,4,2026-06-01 03:57:14,tolong aplikasii nya sudahh bagusss sekali tetapi hilangkan saja fitur mirror di video call jujur saya tidak pede karna wajah saya tidak simetris.
Pengguna Google,5,2026-06-01 03:56:42,bagus
Pengguna Google,5,2026-06-01 03:56:31,krennnn
Pengguna Google,2,2026-06-01 03:55:30,Whatsappnya suka error
Pengguna Google,1,2026-06-01 03:53:56,gua mau login tapi gak punya nomor
Pengguna Google,5,2026-06-01 03:52:21,tolong balikan notif pesan dan telpon aku di layar
Pengguna Google,4,2026-06-01 03:51:52,mantap bnget
Pengguna Google,5,2026-06-01 03:50:52,Hot
Pengguna Google,5,2026-06-01 03:49:22,mantap
Pengguna Google,2,2026-06-01 03:47:31,"apasih,selesai lihat story sendiri malah lngsung lihat story orang laen,,kocak"
Pengguna Google,5,2026-06-01 03:46:51,terbaik
Pengguna Google,3,2026-06-01 03:46:48,"kok akhir* ini kalo vc sering error ya dibagian vidionya, tolong dong diperbaikin lagi"
Pengguna Google,5,2026-06-01 03:46:16,Bagus bermanfaat
Pengguna Google,3,2026-06-01 03:45:37,👌
Pengguna Google,1,2026-06-01 03:45:24,sue
Pengguna Google,5,2026-06-01 03:42:59,Dah lah ini gak bagus
Pengguna Google,5,2026-06-01 03:42:53,bagusss h
Pengguna Google,5,2026-06-01 03:39:14,yahya liza
Pengguna Google,5,2026-06-01 03:37:00,hallo whatsapp..buat whatsap semua fitur sudah bagus..tapi ada 1 hal buat pendamping akun mohon bisa merekam aktivitas seperti vidio call dan pangilan suara secara privat..buat jagain pasangan kita saat kita diperjalanan jauh..atau di pengaturan di tambahin rekam secara otomatis dan nyimepen otomatis..dan untuk pesan yg dihapus.mohon bisa dipulihkan kembali...atau masuk sampah selama 30hari sebelum 30hari masih di sampah...dah itu saja semoga di tambahin fitur tersebut..terimakasih..
Pengguna Google,1,2026-06-01 03:36:31,tidak bisa terupdate
Pengguna Google,5,2026-06-01 03:34:16,gas polll
