content,sentimen
WhatsAppnya bagus updet dong tapi aku suka bisa dibuat telefon wa dan juga lain lainya,1
"Tolong tingkatkan kualitas builtin whatsapp sticker soalnya, 1. ketika buat stiker dari gambar itu ada border putih dan menjadi squircle dan kami tidak suka ini 2. kualitas sticker menjadi low quality 3. tool di sticker maker builtin kurang, 4. ai jelek 5. setiap kali edit sebuah stiker kualitas menurun 6. aku muak dengan orang yang pakai stiker builtin whatsapp jadi aku kasih bintang 3",1
Bagus pelayananya saya dukung,1
fitur terbarunya bikin susah saat vc,0
"aneh yaa padahal jaringan sama"" bagus, tapi ntah kenaap pas vc sering lag"" gajelass, tolong diperbaiki lah",1
knp wa baru 1x chat ke blockir,0
sangat mudah,1
kecewa yuk..tumbal..tuman keseruan..nebak.. pemerintah pusat yang khusus Garut.. Gendo gembong PKI.. KSH,1
kenapa no aku di keluarkan terus,1
tidak ada iklannya,1
ini kenapa ya setiap video call kok selalu ngeleg/video terjeda sendiri,0
"aneh, ada satu kontak yang ga bisa di arsipkan, ga bisa di sematkan, gajelas, udah di arsipkan tapi masi ada di luar arsip, huh aneh gajelas",0
mantul,1
sangat membantu,1
bagus banget,1
"kenapa ini aku gabisa up story, biasanya fine fine aja",1
okee,1
😄,1
terima kasih sudah di ajak bergabung,1
jelek gak ngapa ngapain tiba tiba kena spam,0
sangat membant,1
ini gimna wa aku ke daluarsa terus kenapa yah tolong dong biar ga kedaluarsa terus,1
kok tidak bisa didonload,1
tolong aplikasii nya sudahh bagusss sekali tetapi hilangkan saja fitur mirror di video call jujur saya tidak pede karna wajah saya tidak simetris.,1
bagus,1
krennnn,1
Whatsappnya suka error,0
gua mau login tapi gak punya nomor,0
tolong balikan notif pesan dan telpon aku di layar,1
mantap bnget,1
Hot,1
mantap,1
"apasih,selesai lihat story sendiri malah lngsung lihat story orang laen,,kocak",0
terbaik,1
"kok akhir* ini kalo vc sering error ya dibagian vidionya, tolong dong diperbaikin lagi",1
Bagus bermanfaat,1
👌,1
sue,0
Dah lah ini gak bagus,1
bagusss h,1
yahya liza,1
hallo whatsapp..buat whatsap semua fitur sudah bagus..tapi ada 1 hal buat pendamping akun mohon bisa merekam aktivitas seperti vidio call dan pangilan suara secara privat..buat jagain pasangan kita saat kita diperjalanan jauh..atau di pengaturan di tambahin rekam secara otomatis dan nyimepen otomatis..dan untuk pesan yg dihapus.mohon bisa dipulihkan kembali...atau masuk sampah selama 30hari sebelum 30hari masih di sampah...dah itu saja semoga di tambahin fitur tersebut..terimakasih..,1
tidak bisa terupdate,0
gas polll,1
ai nya ngeselin babi,0
sangat membantu,1
woke,1
sangat membantu,1
sistem wa rusak,0
bgus,1
sangat baik,1
lumayan bagus,1
"WA saya d bajak orang,saya GaK BiSa pakai gmn ini",1
Aplikasi ini bagus sekali untuk berkomunikasi,1
dbls j D os j se ksnosni k so s,1
komunikasi jadi lancar murah👍,1
bisa cetan bareng teman dan keluarga,1
"plis, kembaliin akun wa aku banyak datanya di situ",0
"aplikasi gaje eror kadang kalo vc suka ngebug"" gajelas tolong perbaiki min",0
ni whatsapp kenapa sihh. masa punya aku di tinjau mulu dah tiap hari lama lama gk pake whatsapp lagi,0
bagus,1
bagus,1
terima kasih aplikasi nya,1
terlalu banyak percobaan SMS harus ke telp gua pake TLP harus menunggu 1 jam lu sehat . nomer gua di hp gua lu yang gak kirim otp nya ngapa gua yg kena banet tolol,0
"kuntul cok, mudah ketinjau muluu",1
sangat baik,1
"hal yang paling menjengkelkan adalah kualitas media yang diupload di story, kualitas nya terkompres secara brutal dan heran aja hal spt ini tidak diperhatikan. smoga kedepannya bisa diperbaiki lagi",1
kenapa wa saya tiap hari harus di tinjau saya hanya pemakai wa biasa bukan buat yg aneh2,1
apa apa blokir orang buat kerja jadinya nambah kerjaan bukan mempermudah,0
bug pas vc,0
ok,1
apalah dikit dikit kenon,1
kenapaaa akun wa sayaa tiba tiba tidak bisa dipakai padahal saya tidak melakukan hal hal yang mencurigakan kenapa akun Syaa ditinjauuu mohon ditingkat kan lagi keamanan nyaa,0
TITAH PERANG COPID 19 SERTA PENANGGULANGAN BENCANA BUMI.,1
Panggilan masuk lemot.,1
ini aplikasi apaan kok saya udah masukin nomor benar kok di suruh minta kode padahal itu nomor saya sendiri aku udah coba liat tutorial masih ga bisa aneh kali,0
mantap bro,1
bagusss,1
bagus,0
gw di tolak cewek di apk ini,0
bagus banget ini sih wajib instal,1
baik,1
Bagus aplikasi nya sangat membantu sekali,1
update mulu,0
